41,23
40,24
39,24
39,25
39,26
39,27
39,28
40,28
40,29
41,29
41,30
42,30
37,20
36,20
36,21
36,22
35,22
35,23
35,24
35,25
35,26
35,27
35,28
35,29
36,30
36,31
36,32
37,32
38,33
38,34
39,34
40,34
40,35
41,35
42,35
42,36
43,36
34,13
33,14
32,15
31,15
31,16
30,17
30,18
30,19
29,20
29,21
29,22
29,23
29,24
29,25
29,26
29,27
29,28
29,29
29,30
29,31
29,32
29,33
30,33
30,34
30,35
31,35
31,36
32,36
32,37
33,37
34,38
35,39
36,39
37,40
38,40
39,40
39,41
40,41
42,44
42,45
43,45
43,46
44,46
44,47
45,48
46,49
29,39
29,40
29,41
30,42
30,43
31,43
31,44
32,45
32,46
33,46
33,47
34,47
34,48
35,48
35,49
25,25
25,27
25,28
26,29
26,30
26,31
26,32
26,33
26,34
27,34
25,26
25,20
25,19
25,18
25,17
25,16
25,15
26,15
26,14
27,14
27,13
28,13
29,13
30,12
31,12
31,11
32,11
33,11
35,11
36,11
37,11
38,10
39,10
40,10
41,10
43,10
44,10
45,10
42,10
34,11
19,18
19,19
19,20
19,21
19,22
19,23
19,24
19,25
19,26
19,27
19,28
20,29
21,33
22,34
22,35
23,35
23,36
24,36
24,37
24,38
25,38
25,39
26,40
26,41
27,42
27,43
27,44
28,44
5,33
6,33
7,33
8,33
9,33
10,33
11,33
12,34
13,34
13,35
14,35
14,36
14,37
15,37
15,38
15,39
15,40
15,41
15,42
15,43
15,44
14,44
14,45
6,22
7,22
8,22
10,22
11,22
11,21
11,20
11,19
11,18
9,22
19,15
19,14
20,14
20,13
21,12
21,11
22,11
22,10
23,10
24,10
24,9
25,9
26,8
27,8
31,7
32,6
33,6
33,5
34,5
35,5
36,5
36,4
37,4
38,4
39,4
40,4
41,4
42,4
43,4
39,17
40,17
41,17
42,17
43,17
44,17
45,17
42,15
44,15
46,15
48,15
45,15
47,15
43,15
7,27
8,27
10,27
11,27
12,27
9,27
15,9
16,8
17,7
18,6
19,5
20,4
21,4
22,4
23,4
2,37
3,37
4,37
5,37
9,38
10,38
10,39
10,40
11,41
12,43
12,44
12,45
12,46
12,47
13,47
14,47
